Index,Runoff
0,0.3763270792307719
1,0.15271653249117045
2,0.12735724328998083
3,0.1833860112657927
4,0.31369445535889623
5,0.10016424477786982
6,0.3136155634673152
7,0.15919061936583503
8,0.18309696910790016
9,0.10613469913050509
10,0.22814834181536006
11,0.055860480552407984
12,0.12603614932256366
13,0.19563765633090005
14,0.1396393739236504
15,0.18400242130444336
16,0.17135482003210722
17,0.2372081148492969
18,0.15151836729779114
19,0.305422448353571
20,0.31084807929823655
21,0.7095374233418482
22,0.3726996529028114
23,0.3946742515923936
24,0.2363271987572334
25,0.11215825322166803
26,0.13346959542035777
27,0.0832844694657462
28,0.15726349389682315
29,0.07476467620270454
30,0.26442667783775586
31,0.09145412950414086
32,0.2540130522109821
33,0.24046978139060984
34,0.0829389639856776
35,0.10489558163683833
36,0.18731693761361254
37,0.16106244912070675
38,0.07140661795097293
39,0.13063793910477084
40,0.13295965637197804
41,0.17163998614429626
42,0.3312280594473247
43,0.5400814293857907
44,0.12679078489225418
45,0.0023811419892516804
46,0.27633377096453815
47,0.18436068261633862
48,0.13131464235380005
49,0.4121302788536041
50,0.03667948189667782
51,0.04267130870452645
52,0.44386141547520747
53,0.1850564624150446
54,0.13836271477933068
55,0.05412899052214835
56,0.31971661302318366
57,0.07335031420983548
58,0.0014412837359627268
59,0.25433239405517916
60,0.27305437479902267
61,0.17115124551136382
62,0.5399238418152547
63,0.165118936322818
64,0.07669345298480038
65,0.24819122898498955
66,0.2455948731354867
67,0.3890178434541253
68,0.13398226545231237
69,0.2917607800988797
70,0.12181893508325917
71,0.6098828820188578
72,0.09638344763255559
73,0.389920621864984
74,0.0991493561349839
75,0.22107781913258526
76,0.17051178614256624
77,0.0539657715886478
78,0.11552644572089929
79,0.41218284318396353
80,0.22457683371221643
81,0.8586085706747246
82,0.07641866622513294
83,0.34518459693919845
84,0.30288864885763817
85,0.011451118046260221
86,0.2745187620278839
87,0.1459738645865966
88,0.2090853467027748
89,0.05037540308238178
90,0.21485937542372352
91,0.04197142317488983
92,0.5340960746371599
93,0.07844377570756919
94,0.1566671541359188
95,0.1098867896956229
96,0.3278989650048106
97,0.3919127308091946
98,0.3102617135421869
99,0.11872874028821445
100,0.15024964709579533
101,0.2631198841102504
102,0.06659812713233831
103,0.11023429969028156
104,0.21497026319147378
105,0.205520570374532
106,0.245555466321431
107,0.18850477245102112
108,0.1038678565225473
109,0.34572542248294935
110,0.05174216126107028
111,0.2583834418965116
112,0.012924046619836121
113,0.11362573079154963
114,0.03776603366501771
115,0.0731894476727441
116,0.21657593078430398
117,0.2971138647910079
118,0.1669320026037749
119,0.36819728118086537
120,0.07774741099631881
121,0.12723006354580033
122,0.17505630272879347
123,0.19383110990011823
124,0.10316682323571127
125,0.2195354319365321
126,0.3302191562752623
127,0.4370893367461786
128,0.4048845988549906
129,0.27619088163784533
130,0.15700293070752108
131,0.12211091294900726
132,0.2123178975114379
133,0.07395334748389759
134,0.23277520806264917
135,0.22005298473093948
136,0.14599301182329616
137,0.10960639187811287
138,0.4549815784449682
139,0.28198763475772676
140,0.29569009260730156
141,0.021922285243357632
142,0.06994748374567102
143,0.2946471172817223
144,0.20280460785491108
145,0.08146813786889207
146,0.14727172867226584
147,0.1275462651052466
148,0.3920423406066984
149,0.1495817712540444
150,0.5779835323085609
151,0.23558998767332476
152,0.23107345246602545
